date,home_team,home_score,away_score,away_team,final_score
16-08-2024,Arsenal,2,0,Wolves,Arsenal 2 - 0 Wolves
23-08-2024,Aston Villa,0,2,Arsenal,Aston Villa 0 - 2 Arsenal
30-08-2024,Arsenal,1,1,Brighton,Arsenal 1 - 1 Brighton
14-09-2024,Tottenham,0,1,Arsenal,Tottenham 0 - 1 Arsenal
21-09-2024,Man City,2,2,Arsenal,Man City 2 - 2 Arsenal
27-09-2024,Arsenal,4,2,Leicester,Arsenal 4 - 2 Leicester
04-10-2024,Arsenal,3,1,Southampton,Arsenal 3 - 1 Southampton
18-10-2024,Bournemouth,2,0,Arsenal,Bournemouth 2 - 0 Arsenal
26-10-2024,Arsenal,2,2,Liverpool,Arsenal 2 - 2 Liverpool
01-11-2024,Newcastle,1,0,Arsenal,Newcastle 1 - 0 Arsenal
09-11-2024,Chelsea,1,1,Arsenal,Chelsea 1 - 1 Arsenal
22-11-2024,Arsenal,3,0,Nott'm Forest,Arsenal 3 - 0 Nott'm Forest
29-11-2024,West Ham,2,5,Arsenal,West Ham 2 - 5 Arsenal
03-12-2024,Arsenal,2,0,Man United,Arsenal 2 - 0 Man United
07-12-2024,Fulham,1,1,Arsenal,Fulham 1 - 1 Arsenal
13-12-2024,Arsenal,0,0,Everton,Arsenal 0 - 0 Everton
20-12-2024,Crystal Palace,1,5,Arsenal,Crystal Palace 1 - 5 Arsenal
26-12-2024,Arsenal,1,0,Ipswich,Arsenal 1 - 0 Ipswich
31-12-2024,Brentford,1,3,Arsenal,Brentford 1 - 3 Arsenal
03-01-2025,Brighton,1,1,Arsenal,Brighton 1 - 1 Arsenal
14-01-2025,Arsenal,2,1,Tottenham,Arsenal 2 - 1 Tottenham
17-01-2025,Arsenal,2,2,Aston Villa,Arsenal 2 - 2 Aston Villa
24-01-2025,Wolves,0,1,Arsenal,Wolves 0 - 1 Arsenal
01-02-2025,Arsenal,5,1,Man City,Arsenal 5 - 1 Man City
14-02-2025,Leicester,0,2,Arsenal,Leicester 0 - 2 Arsenal
21-02-2025,Arsenal,0,1,West Ham,Arsenal 0 - 1 West Ham
25-02-2025,Nott'm Forest,0,0,Arsenal,Nott'm Forest 0 - 0 Arsenal
08-03-2025,Man United,1,1,Arsenal,Man United 1 - 1 Arsenal
16-08-2024,West Ham,1,2,Aston Villa,West Ham 1 - 2 Aston Villa
23-08-2024,Aston Villa,0,2,Arsenal,Aston Villa 0 - 2 Arsenal
30-08-2024,Leicester,1,2,Aston Villa,Leicester 1 - 2 Aston Villa
13-09-2024,Aston Villa,3,2,Everton,Aston Villa 3 - 2 Everton
20-09-2024,Aston Villa,3,1,Wolves,Aston Villa 3 - 1 Wolves
28-09-2024,Ipswich,2,2,Aston Villa,Ipswich 2 - 2 Aston Villa
05-10-2024,Aston Villa,0,0,Man United,Aston Villa 0 - 0 Man United
18-10-2024,Fulham,1,3,Aston Villa,Fulham 1 - 3 Aston Villa
25-10-2024,Aston Villa,1,1,Bournemouth,Aston Villa 1 - 1 Bournemouth
02-11-2024,Tottenham,4,1,Aston Villa,Tottenham 4 - 1 Aston Villa
08-11-2024,Liverpool,2,0,Aston Villa,Liverpool 2 - 0 Aston Villa
22-11-2024,Aston Villa,2,2,Crystal Palace,Aston Villa 2 - 2 Crystal Palace
30-11-2024,Chelsea,3,0,Aston Villa,Chelsea 3 - 0 Aston Villa
03-12-2024,Aston Villa,3,1,Brentford,Aston Villa 3 - 1 Brentford
06-12-2024,Aston Villa,1,0,Southampton,Aston Villa 1 - 0 Southampton
13-12-2024,Nott'm Forest,2,1,Aston Villa,Nott'm Forest 2 - 1 Aston Villa
20-12-2024,Aston Villa,2,1,Man City,Aston Villa 2 - 1 Man City
25-12-2024,Newcastle,3,0,Aston Villa,Newcastle 3 - 0 Aston Villa
29-12-2024,Aston Villa,2,2,Brighton,Aston Villa 2 - 2 Brighton
03-01-2025,Aston Villa,2,1,Leicester,Aston Villa 2 - 1 Leicester
14-01-2025,Everton,0,1,Aston Villa,Everton 0 - 1 Aston Villa
17-01-2025,Arsenal,2,2,Aston Villa,Arsenal 2 - 2 Aston Villa
25-01-2025,Aston Villa,1,1,West Ham,Aston Villa 1 - 1 West Ham
31-01-2025,Wolves,2,0,Aston Villa,Wolves 2 - 0 Aston Villa
14-02-2025,Aston Villa,1,1,Ipswich,Aston Villa 1 - 1 Ipswich
18-02-2025,Aston Villa,2,2,Liverpool,Aston Villa 2 - 2 Liverpool
21-02-2025,Aston Villa,2,1,Chelsea,Aston Villa 2 - 1 Chelsea
24-02-2025,Crystal Palace,4,1,Aston Villa,Crystal Palace 4 - 1 Aston Villa
07-03-2025,Brentford,0,1,Aston Villa,Brentford 0 - 1 Aston Villa
16-08-2024,Nott'm Forest,1,1,Bournemouth,Nott'm Forest 1 - 1 Bournemouth
24-08-2024,Bournemouth,1,1,Newcastle,Bournemouth 1 - 1 Newcastle
30-08-2024,Everton,2,3,Bournemouth,Everton 2 - 3 Bournemouth
13-09-2024,Bournemouth,0,1,Chelsea,Bournemouth 0 - 1 Chelsea
20-09-2024,Liverpool,3,0,Bournemouth,Liverpool 3 - 0 Bournemouth
29-09-2024,Bournemouth,3,1,Southampton,Bournemouth 3 - 1 Southampton
04-10-2024,Leicester,1,0,Bournemouth,Leicester 1 - 0 Bournemouth
18-10-2024,Bournemouth,2,0,Arsenal,Bournemouth 2 - 0 Arsenal
25-10-2024,Aston Villa,1,1,Bournemouth,Aston Villa 1 - 1 Bournemouth
01-11-2024,Bournemouth,2,1,Man City,Bournemouth 2 - 1 Man City
08-11-2024,Brentford,3,2,Bournemouth,Brentford 3 - 2 Bournemouth
22-11-2024,Bournemouth,1,2,Brighton,Bournemouth 1 - 2 Brighton
29-11-2024,Wolves,2,4,Bournemouth,Wolves 2 - 4 Bournemouth
04-12-2024,Bournemouth,1,0,Tottenham,Bournemouth 1 - 0 Tottenham
07-12-2024,Ipswich,1,2,Bournemouth,Ipswich 1 - 2 Bournemouth
15-12-2024,Bournemouth,1,1,West Ham,Bournemouth 1 - 1 West Ham
21-12-2024,Man United,0,3,Bournemouth,Man United 0 - 3 Bournemouth
25-12-2024,Bournemouth,0,0,Crystal Palace,Bournemouth 0 - 0 Crystal Palace
28-12-2024,Fulham,2,2,Bournemouth,Fulham 2 - 2 Bournemouth
03-01-2025,Bournemouth,1,0,Everton,Bournemouth 1 - 0 Everton
13-01-2025,Chelsea,2,2,Bournemouth,Chelsea 2 - 2 Bournemouth
17-01-2025,Newcastle,1,4,Bournemouth,Newcastle 1 - 4 Bournemouth
24-01-2025,Bournemouth,5,0,Nott'm Forest,Bournemouth 5 - 0 Nott'm Forest
31-01-2025,Bournemouth,0,2,Liverpool,Bournemouth 0 - 2 Liverpool
14-02-2025,Southampton,1,3,Bournemouth,Southampton 1 - 3 Bournemouth
21-02-2025,Bournemouth,0,1,Wolves,Bournemouth 0 - 1 Wolves
24-02-2025,Brighton,2,1,Bournemouth,Brighton 2 - 1 Bournemouth
08-03-2025,Tottenham,2,2,Bournemouth,Tottenham 2 - 2 Bournemouth
17-08-2024,Brentford,2,1,Crystal Palace,Brentford 2 - 1 Crystal Palace
24-08-2024,Liverpool,2,0,Brentford,Liverpool 2 - 0 Brentford
30-08-2024,Brentford,3,1,Southampton,Brentford 3 - 1 Southampton
13-09-2024,Man City,2,1,Brentford,Man City 2 - 1 Brentford
20-09-2024,Tottenham,3,1,Brentford,Tottenham 3 - 1 Brentford
27-09-2024,Brentford,1,1,West Ham,Brentford 1 - 1 West Ham
04-10-2024,Brentford,5,3,Wolves,Brentford 5 - 3 Wolves
18-10-2024,Man United,2,1,Brentford,Man United 2 - 1 Brentford
25-10-2024,Brentford,4,3,Ipswich,Brentford 4 - 3 Ipswich
03-11-2024,Fulham,2,1,Brentford,Fulham 2 - 1 Brentford
08-11-2024,Brentford,3,2,Bournemouth,Brentford 3 - 2 Bournemouth
22-11-2024,Everton,0,0,Brentford,Everton 0 - 0 Brentford
29-11-2024,Brentford,4,1,Leicester,Brentford 4 - 1 Leicester
03-12-2024,Aston Villa,3,1,Brentford,Aston Villa 3 - 1 Brentford
06-12-2024,Brentford,4,2,Newcastle,Brentford 4 - 2 Newcastle
14-12-2024,Chelsea,2,1,Brentford,Chelsea 2 - 1 Brentford
20-12-2024,Brentford,0,2,Nott'm Forest,Brentford 0 - 2 Nott'm Forest
26-12-2024,Brighton,0,0,Brentford,Brighton 0 - 0 Brentford
31-12-2024,Brentford,1,3,Arsenal,Brentford 1 - 3 Arsenal
03-01-2025,Southampton,0,5,Brentford,Southampton 0 - 5 Brentford
13-01-2025,Brentford,2,2,Man City,Brentford 2 - 2 Man City
17-01-2025,Brentford,0,2,Liverpool,Brentford 0 - 2 Liverpool
25-01-2025,Crystal Palace,1,2,Brentford,Crystal Palace 1 - 2 Brentford
01-02-2025,Brentford,0,2,Tottenham,Brentford 0 - 2 Tottenham
14-02-2025,West Ham,0,1,Brentford,West Ham 0 - 1 Brentford
20-02-2025,Leicester,0,4,Brentford,Leicester 0 - 4 Brentford
25-02-2025,Brentford,1,1,Everton,Brentford 1 - 1 Everton
07-03-2025,Brentford,0,1,Aston Villa,Brentford 0 - 1 Aston Villa
16-08-2024,Everton,0,3,Brighton,Everton 0 - 3 Brighton
23-08-2024,Brighton,2,1,Man United,Brighton 2 - 1 Man United
30-08-2024,Arsenal,1,1,Brighton,Arsenal 1 - 1 Brighton
13-09-2024,Brighton,0,0,Ipswich,Brighton 0 - 0 Ipswich
21-09-2024,Brighton,2,2,Nott'm Forest,Brighton 2 - 2 Nott'm Forest
27-09-2024,Chelsea,4,2,Brighton,Chelsea 4 - 2 Brighton
05-10-2024,Brighton,3,2,Tottenham,Brighton 3 - 2 Tottenham
18-10-2024,Newcastle,0,1,Brighton,Newcastle 0 - 1 Brighton
25-10-2024,Brighton,2,2,Wolves,Brighton 2 - 2 Wolves
01-11-2024,Liverpool,2,1,Brighton,Liverpool 2 - 1 Brighton
08-11-2024,Brighton,2,1,Man City,Brighton 2 - 1 Man City
22-11-2024,Bournemouth,1,2,Brighton,Bournemouth 1 - 2 Brighton
28-11-2024,Brighton,1,1,Southampton,Brighton 1 - 1 Southampton
04-12-2024,Fulham,3,1,Brighton,Fulham 3 - 1 Brighton
07-12-2024,Leicester,2,2,Brighton,Leicester 2 - 2 Brighton
14-12-2024,Brighton,1,3,Crystal Palace,Brighton 1 - 3 Crystal Palace
20-12-2024,West Ham,1,1,Brighton,West Ham 1 - 1 Brighton
26-12-2024,Brighton,0,0,Brentford,Brighton 0 - 0 Brentford
29-12-2024,Aston Villa,2,2,Brighton,Aston Villa 2 - 2 Brighton
03-01-2025,Brighton,1,1,Arsenal,Brighton 1 - 1 Arsenal
15-01-2025,Ipswich,0,2,Brighton,Ipswich 0 - 2 Brighton
18-01-2025,Man United,1,3,Brighton,Man United 1 - 3 Brighton
24-01-2025,Brighton,0,1,Everton,Brighton 0 - 1 Everton
31-01-2025,Nott'm Forest,7,0,Brighton,Nott'm Forest 7 - 0 Brighton
13-02-2025,Brighton,3,0,Chelsea,Brighton 3 - 0 Chelsea
21-02-2025,Southampton,0,4,Brighton,Southampton 0 - 4 Brighton
24-02-2025,Brighton,2,1,Bournemouth,Brighton 2 - 1 Bournemouth
07-03-2025,Brighton,2,1,Fulham,Brighton 2 - 1 Fulham
17-08-2024,Chelsea,0,2,Man City,Chelsea 0 - 2 Man City
24-08-2024,Wolves,2,6,Chelsea,Wolves 2 - 6 Chelsea
31-08-2024,Chelsea,1,1,Crystal Palace,Chelsea 1 - 1 Crystal Palace
13-09-2024,Bournemouth,0,1,Chelsea,Bournemouth 0 - 1 Chelsea
20-09-2024,West Ham,0,3,Chelsea,West Ham 0 - 3 Chelsea
27-09-2024,Chelsea,4,2,Brighton,Chelsea 4 - 2 Brighton
05-10-2024,Chelsea,1,1,Nott'm Forest,Chelsea 1 - 1 Nott'm Forest
19-10-2024,Liverpool,2,1,Chelsea,Liverpool 2 - 1 Chelsea
26-10-2024,Chelsea,2,1,Newcastle,Chelsea 2 - 1 Newcastle
02-11-2024,Man United,1,1,Chelsea,Man United 1 - 1 Chelsea
09-11-2024,Chelsea,1,1,Arsenal,Chelsea 1 - 1 Arsenal
22-11-2024,Leicester,1,2,Chelsea,Leicester 1 - 2 Chelsea
30-11-2024,Chelsea,3,0,Aston Villa,Chelsea 3 - 0 Aston Villa
03-12-2024,Southampton,1,5,Chelsea,Southampton 1 - 5 Chelsea
07-12-2024,Tottenham,3,4,Chelsea,Tottenham 3 - 4 Chelsea
14-12-2024,Chelsea,2,1,Brentford,Chelsea 2 - 1 Brentford
21-12-2024,Everton,0,0,Chelsea,Everton 0 - 0 Chelsea
25-12-2024,Chelsea,1,2,Fulham,Chelsea 1 - 2 Fulham
29-12-2024,Ipswich,2,0,Chelsea,Ipswich 2 - 0 Chelsea
03-01-2025,Crystal Palace,1,1,Chelsea,Crystal Palace 1 - 1 Chelsea
13-01-2025,Chelsea,2,2,Bournemouth,Chelsea 2 - 2 Bournemouth
19-01-2025,Chelsea,3,1,Wolves,Chelsea 3 - 1 Wolves
24-01-2025,Man City,3,1,Chelsea,Man City 3 - 1 Chelsea
02-02-2025,Chelsea,2,1,West Ham,Chelsea 2 - 1 West Ham
13-02-2025,Brighton,3,0,Chelsea,Brighton 3 - 0 Chelsea
21-02-2025,Aston Villa,2,1,Chelsea,Aston Villa 2 - 1 Chelsea
24-02-2025,Chelsea,4,0,Southampton,Chelsea 4 - 0 Southampton
08-03-2025,Chelsea,1,0,Leicester,Chelsea 1 - 0 Leicester
17-08-2024,Brentford,2,1,Crystal Palace,Brentford 2 - 1 Crystal Palace
23-08-2024,Crystal Palace,0,2,West Ham,Crystal Palace 0 - 2 West Ham
31-08-2024,Chelsea,1,1,Crystal Palace,Chelsea 1 - 1 Crystal Palace
13-09-2024,Crystal Palace,2,2,Leicester,Crystal Palace 2 - 2 Leicester
20-09-2024,Crystal Palace,0,0,Man United,Crystal Palace 0 - 0 Man United
27-09-2024,Everton,2,1,Crystal Palace,Everton 2 - 1 Crystal Palace
04-10-2024,Crystal Palace,0,1,Liverpool,Crystal Palace 0 - 1 Liverpool
20-10-2024,Nott'm Forest,1,0,Crystal Palace,Nott'm Forest 1 - 0 Crystal Palace
26-10-2024,Crystal Palace,1,0,Tottenham,Crystal Palace 1 - 0 Tottenham
01-11-2024,Wolves,2,2,Crystal Palace,Wolves 2 - 2 Crystal Palace
08-11-2024,Crystal Palace,0,2,Fulham,Crystal Palace 0 - 2 Fulham
22-11-2024,Aston Villa,2,2,Crystal Palace,Aston Villa 2 - 2 Crystal Palace
29-11-2024,Crystal Palace,1,1,Newcastle,Crystal Palace 1 - 1 Newcastle
02-12-2024,Ipswich,0,1,Crystal Palace,Ipswich 0 - 1 Crystal Palace
06-12-2024,Crystal Palace,2,2,Man City,Crystal Palace 2 - 2 Man City
14-12-2024,Brighton,1,3,Crystal Palace,Brighton 1 - 3 Crystal Palace
20-12-2024,Crystal Palace,1,5,Arsenal,Crystal Palace 1 - 5 Arsenal
25-12-2024,Bournemouth,0,0,Crystal Palace,Bournemouth 0 - 0 Crystal Palace
28-12-2024,Crystal Palace,2,1,Southampton,Crystal Palace 2 - 1 Southampton
03-01-2025,Crystal Palace,1,1,Chelsea,Crystal Palace 1 - 1 Chelsea
14-01-2025,Leicester,0,2,Crystal Palace,Leicester 0 - 2 Crystal Palace
17-01-2025,West Ham,0,2,Crystal Palace,West Ham 0 - 2 Crystal Palace
25-01-2025,Crystal Palace,1,2,Brentford,Crystal Palace 1 - 2 Brentford
01-02-2025,Man United,0,2,Crystal Palace,Man United 0 - 2 Crystal Palace
14-02-2025,Crystal Palace,1,2,Everton,Crystal Palace 1 - 2 Everton
21-02-2025,Fulham,0,2,Crystal Palace,Fulham 0 - 2 Crystal Palace
24-02-2025,Crystal Palace,4,1,Aston Villa,Crystal Palace 4 - 1 Aston Villa
07-03-2025,Crystal Palace,1,0,Ipswich,Crystal Palace 1 - 0 Ipswich
16-08-2024,Everton,0,3,Brighton,Everton 0 - 3 Brighton
23-08-2024,Tottenham,4,0,Everton,Tottenham 4 - 0 Everton
30-08-2024,Everton,2,3,Bournemouth,Everton 2 - 3 Bournemouth
13-09-2024,Aston Villa,3,2,Everton,Aston Villa 3 - 2 Everton
20-09-2024,Leicester,1,1,Everton,Leicester 1 - 1 Everton
27-09-2024,Everton,2,1,Crystal Palace,Everton 2 - 1 Crystal Palace
04-10-2024,Everton,0,0,Newcastle,Everton 0 - 0 Newcastle
18-10-2024,Ipswich,0,2,Everton,Ipswich 0 - 2 Everton
25-10-2024,Everton,1,1,Fulham,Everton 1 - 1 Fulham
01-11-2024,Southampton,1,0,Everton,Southampton 1 - 0 Everton
08-11-2024,West Ham,0,0,Everton,West Ham 0 - 0 Everton
22-11-2024,Everton,0,0,Brentford,Everton 0 - 0 Brentford
30-11-2024,Man United,4,0,Everton,Man United 4 - 0 Everton
03-12-2024,Everton,4,0,Wolves,Everton 4 - 0 Wolves
13-12-2024,Arsenal,0,0,Everton,Arsenal 0 - 0 Everton
21-12-2024,Everton,0,0,Chelsea,Everton 0 - 0 Chelsea
25-12-2024,Man City,1,1,Everton,Man City 1 - 1 Everton
28-12-2024,Everton,0,2,Nott'm Forest,Everton 0 - 2 Nott'm Forest
03-01-2025,Bournemouth,1,0,Everton,Bournemouth 1 - 0 Everton
14-01-2025,Everton,0,1,Aston Villa,Everton 0 - 1 Aston Villa
18-01-2025,Everton,3,2,Tottenham,Everton 3 - 2 Tottenham
24-01-2025,Brighton,0,1,Everton,Brighton 0 - 1 Everton
31-01-2025,Everton,4,0,Leicester,Everton 4 - 0 Leicester
11-02-2025,Everton,2,2,Liverpool,Everton 2 - 2 Liverpool
14-02-2025,Crystal Palace,1,2,Everton,Crystal Palace 1 - 2 Everton
21-02-2025,Everton,2,2,Man United,Everton 2 - 2 Man United
25-02-2025,Brentford,1,1,Everton,Brentford 1 - 1 Everton
07-03-2025,Wolves,1,1,Everton,Wolves 1 - 1 Everton
15-08-2024,Man United,1,0,Fulham,Man United 1 - 0 Fulham
23-08-2024,Fulham,2,1,Leicester,Fulham 2 - 1 Leicester
30-08-2024,Ipswich,1,1,Fulham,Ipswich 1 - 1 Fulham
13-09-2024,Fulham,1,1,West Ham,Fulham 1 - 1 West Ham
20-09-2024,Fulham,3,1,Newcastle,Fulham 3 - 1 Newcastle
27-09-2024,Nott'm Forest,0,1,Fulham,Nott'm Forest 0 - 1 Fulham
04-10-2024,Man City,3,2,Fulham,Man City 3 - 2 Fulham
18-10-2024,Fulham,1,3,Aston Villa,Fulham 1 - 3 Aston Villa
25-10-2024,Everton,1,1,Fulham,Everton 1 - 1 Fulham
03-11-2024,Fulham,2,1,Brentford,Fulham 2 - 1 Brentford
08-11-2024,Crystal Palace,0,2,Fulham,Crystal Palace 0 - 2 Fulham
22-11-2024,Fulham,1,4,Wolves,Fulham 1 - 4 Wolves
30-11-2024,Tottenham,1,1,Fulham,Tottenham 1 - 1 Fulham
04-12-2024,Fulham,3,1,Brighton,Fulham 3 - 1 Brighton
07-12-2024,Fulham,1,1,Arsenal,Fulham 1 - 1 Arsenal
13-12-2024,Liverpool,2,2,Fulham,Liverpool 2 - 2 Fulham
21-12-2024,Fulham,0,0,Southampton,Fulham 0 - 0 Southampton
25-12-2024,Chelsea,1,2,Fulham,Chelsea 1 - 2 Fulham
28-12-2024,Fulham,2,2,Bournemouth,Fulham 2 - 2 Bournemouth
04-01-2025,Fulham,2,2,Ipswich,Fulham 2 - 2 Ipswich
13-01-2025,West Ham,3,2,Fulham,West Ham 3 - 2 Fulham
17-01-2025,Leicester,0,2,Fulham,Leicester 0 - 2 Fulham
25-01-2025,Fulham,0,1,Man United,Fulham 0 - 1 Man United
31-01-2025,Newcastle,1,2,Fulham,Newcastle 1 - 2 Fulham
14-02-2025,Fulham,2,1,Nott'm Forest,Fulham 2 - 1 Nott'm Forest
21-02-2025,Fulham,0,2,Crystal Palace,Fulham 0 - 2 Crystal Palace
24-02-2025,Wolves,1,2,Fulham,Wolves 1 - 2 Fulham
07-03-2025,Brighton,2,1,Fulham,Brighton 2 - 1 Fulham
16-08-2024,Ipswich,0,2,Liverpool,Ipswich 0 - 2 Liverpool
23-08-2024,Man City,4,1,Ipswich,Man City 4 - 1 Ipswich
30-08-2024,Ipswich,1,1,Fulham,Ipswich 1 - 1 Fulham
13-09-2024,Brighton,0,0,Ipswich,Brighton 0 - 0 Ipswich
20-09-2024,Southampton,1,1,Ipswich,Southampton 1 - 1 Ipswich
28-09-2024,Ipswich,2,2,Aston Villa,Ipswich 2 - 2 Aston Villa
04-10-2024,West Ham,4,1,Ipswich,West Ham 4 - 1 Ipswich
18-10-2024,Ipswich,0,2,Everton,Ipswich 0 - 2 Everton
25-10-2024,Brentford,4,3,Ipswich,Brentford 4 - 3 Ipswich
01-11-2024,Ipswich,1,1,Leicester,Ipswich 1 - 1 Leicester
09-11-2024,Tottenham,1,2,Ipswich,Tottenham 1 - 2 Ipswich
23-11-2024,Ipswich,1,1,Man United,Ipswich 1 - 1 Man United
29-11-2024,Nott'm Forest,1,0,Ipswich,Nott'm Forest 1 - 0 Ipswich
02-12-2024,Ipswich,0,1,Crystal Palace,Ipswich 0 - 1 Crystal Palace
07-12-2024,Ipswich,1,2,Bournemouth,Ipswich 1 - 2 Bournemouth
13-12-2024,Wolves,1,2,Ipswich,Wolves 1 - 2 Ipswich
20-12-2024,Ipswich,0,4,Newcastle,Ipswich 0 - 4 Newcastle
26-12-2024,Arsenal,1,0,Ipswich,Arsenal 1 - 0 Ipswich
29-12-2024,Ipswich,2,0,Chelsea,Ipswich 2 - 0 Chelsea
04-01-2025,Fulham,2,2,Ipswich,Fulham 2 - 2 Ipswich
15-01-2025,Ipswich,0,2,Brighton,Ipswich 0 - 2 Brighton
18-01-2025,Ipswich,0,6,Man City,Ipswich 0 - 6 Man City
24-01-2025,Liverpool,4,1,Ipswich,Liverpool 4 - 1 Ipswich
31-01-2025,Ipswich,1,2,Southampton,Ipswich 1 - 2 Southampton
14-02-2025,Aston Villa,1,1,Ipswich,Aston Villa 1 - 1 Ipswich
21-02-2025,Ipswich,1,4,Tottenham,Ipswich 1 - 4 Tottenham
25-02-2025,Man United,3,2,Ipswich,Man United 3 - 2 Ipswich
07-03-2025,Crystal Palace,1,0,Ipswich,Crystal Palace 1 - 0 Ipswich
18-08-2024,Leicester,1,1,Tottenham,Leicester 1 - 1 Tottenham
